tokens	labels
['unt', 'diu', 'mennischeit', 'erstarp,', 'diu', 'gotheit', 'ir', 'daz', 'leben', 'erwarp.', 'Möhten', 'hôher', 'sîn', 'nû', 'dîne', 'gote,', 'so', 'wolt', 'ich', 'doch', 'zuo']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ir', 'den', 'list', 'erdæhte', 'unde', 'in', 'von', 'dem', 'willen', 'bræhte.', 'Der', 'knappe', 'tump', 'unde', 'wert', 'iesch', 'von', 'der', 'muoter', 'dicke', 'ein']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ouch', 'ein', 'mære.', 'des', 'muoter', 'hiez', 'Bêâflûrs,', 'unt', 'sîn', 'vater', 'Pansâmûrs:', 'die', 'wâren', 'von', 'der', 'feien', 'art:', 'daz', 'kint', 'hiez', 'Lîahturteltart.']	['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B']
['des', 'grâls', 'insigel', 'hie', 'kumt', 'uns', 'des', 'wir', 'gerten', 'ie,', 'Sît', 'uns', 'der', 'jâmerstric', 'beslôz.', 'habt', 'stille:', 'uns', 'næhet', 'freude', 'grôz.&quot;']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['arme', 'unde', 'rîche', 'wurben', 'gar', 'genendeclîche.', 'den', 'markys', 'sicherheit', 'betwanc', 'Synagûn', 'der', 'ie', 'nâch', 'prîse', 'ranc,', 'want', 'er', 'den', 'getouften', 'was']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['helfe', 'warp,', 'diu', 'salbe', 'im', 'half,', 'daz', 'er', 'niht', 'starp:', 'Si', 'ist', 'von', 'Munsalvæsche', 'komn,&quot;', 'dô', 'Gâwân', 'hête', 'vernomn', 'Munsalvæsche', 'nennen,']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'B', 'O']
['mit', 'zorne', 'od', 'abe', 'mit', 'minnen.&quot;', 'die', 'nâchreiser', 'niht', 'vermeit.', 'Scherules', 'im', 'widerreit,', 'er', 'vrâgte', 'war', 'im', 'wær', 'sô', 'gâch.', '&quot;ich']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ist', 'ein', 'künec', 'rîch,', 'mîn', 'muoter', 'wol', 'sîn', 'gelîch,', 'über', 'Destrigâles', 'lant,', 'Êrec', 'bin', 'ich', 'genant.‹', '›sol', 'ich', 'des', 'gewis', 'wesen?‹']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['umbevanc', 'was', 'ir', 'antlütze', 'verdecket', 'und', 'niht', 'ze', 'sehen', 'enblecket.', 'Senfteclîche', 'und', 'doch', 'in', 'vollen', 'zelt', 'kom', 'si', 'rîtende', 'über', 'velt.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['mîn', 'neve', 'Parzivâl.', 'ir', 'sult', 'in', 'sehn,', 'den', 'lieht', 'gemâl.', 'Durch', 'Gâwânes', 'triwe', 'nôt', 'leist', 'ich', 'daz', 'mir', 'der', 'künec', 'enbôt.&quot;']	['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Saules', 'leben.', 'Dâvîde', 'alhie', 'gelîchet', 'stât', 'der', 'gotes', 'degen', 'Jôsaphât;', 'Avenieres', 'unreht', 'gewalt', 'ist', 'ze', 'Saule', 'hie', 'gezalt.', 'ir', 'mære', 'hânt']	['B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']
['gienc.&quot;', 'Artûs', 'vil', 'getriwer', 'munt', 'verkôs', 'die', 'schulde', 'sâ', 'zestunt.', 'Dô', 'vriesch', 'wîb', 'unde', 'man', 'daz', 'der', 'künec', 'von', 'Brandigân', 'was']	['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['iu', 'klagen', 'mêre,', 'waz', 'hân', 'ich', 'unsælic', 'man', 'dem', 'künege', 'Gramoflanz', 'getân,', 'sît', 'er', 'gein', 'mîme', 'künne', 'pfligt,', 'daz', 'in', 'lîhte']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['dîn', 'strâle', 'mîn', 'misset', 'zallem', 'mâle:', 'als', 'tuot', 'des', 'hêrn', 'Amores', 'gêr.', 'sît', 'ir', 'zwêne', 'ob', 'minnen', 'hêr,', 'unt', 'Vênus', 'mit']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['man', 'verre', 'klingen,', 'durch', 'liehte', 'helme', 'dringen.', 'eins', 'morgens', 'vruo', 'Lîôn', 'ûz', 'reit;', 'zer', 'jostẹ', 'durch', 'sîne', 'manheit', 'vordert', 'er', 'herṛẹn']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['den', 'herzogen', 'von', 'Gôwerzîn', 'lât', 'in', 'der', 'rîter', 'pflege', 'sîn.&quot;', 'Gar', 'schiere', 'ein', 'ende', 'nam', 'der', 'tanz.', 'juncfrowen', 'mit', 'varwen', 'glanz']	['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['der', 'zornic', 'gemuot.', 'dô', 'regete', 'sich', 'diu', 'heres', 'vluot.', 'von', 'Arâbî', 'und', 'von', 'Todjerne', 'die', 'künige', 'dô', 'gâhten', 'gerne,', 'Tybalt', 'und']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['ander', 'sîne', 'forderen', 'teten,', 'die', 'sich', 'nie', 'wider', 'ime', 'gesazten.', 'Daz', 'bezeichnôt', 'daz', 'cholt:', 'daz', 'er', 'rehte', 'merchen', 'solt,', 'daz', 'daz']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ê', 'si', 'sie', 'gar', 'ersluogen,', 'wan', 'si', 'riwic', 'herze', 'truogen.', 'Der', 'künic', 'wart', 'erværet.', 'dô', 'wart', 'diz', 'wort', 'bewæret:', 'er', 'belîbet']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['den', 'künec', 'sluoc', 'durh', 'den', 'helm', 'unz', 'ûf', 'die', 'zene.', 'Ob', 'ich', 'mich', 'nû', 'dar', 'umbe', 'sene,', 'daz', 'ist', 'ein', 'verre']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['sîn', 'tjost', 'wê,', 'den', 'er', 'tôt', 'derhinder', 'stach;', 'des', 'sider', 'Trevrizent', 'verjach.', 'Gâwân', 'dâhte', '&quot;swer', 'verzagt', 'sô', 'daz', 'er', 'fliuhet', 'ê']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['truoc,', 'des', 'kiule', 'grœzer', 'denne', 'ein', 'kruoc.', 'er', 'gienc', 'gein', 'Gâwâne', 'her:', 'daz', 'enwas', 'doch', 'ninder', 'sîn', 'ger,', 'wande', 'in', 'sîns']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['dâ', 'für', 'getruoc.', 'ich', 'wæn', 'man', 'gab', 'in', 'dâ', 'genuoc.', 'Ieslîch', 'frouwe', 'hete', 'prîs,', 'diu', 'dâ', 'saz', 'bî', 'ir', 'âmîs.', 'manger']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['gesluoc.', 'mir', 'wirt', 'verschert', 'nimmer', 'vel', 'durch', 'iuch,', 'hêr', 'Kyngrimursel:', 'Des', 'hân', 'ich', 'mich', 'gein', 'iu', 'bedâht.&quot;', 'dô', 'sprach', 'der', 'künec']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['schilt;', 'des', 'reit', 'er', 'âne', 'gein', 'Munlêûn.', 'manec', 'Franzoys', 'und', 'Bertûn', 'und', 'vil', 'der', 'Engeloyse', 'und', 'der', 'werden', 'Burgunschoyse', 'zer', 'hôchgezît']	['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['in,', 'als', 'ez', 'niender', 'wære', 'umbe', 'in.', 'nû', 'hâte', 'vrouwe', 'Melde', 'vruo', 'gesant', 'ze', 'velde', 'einen', 'garzûn', 'besehen', 'waz', 'Êrecke', 'wære']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['wâren', 'sô', 'daʒ', 'man', 'niht', 'vant', 'ze', 'Pûlân', 'noch', 'ze', 'Spangenlant,', 'diu', 'sich', 'in', 'gelîchen', 'mohten.', 'gereite,', 'diu', 'dar', 'zuo', 'tohten,']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['die', 'meister', 'an', 'der', 'selben', 'zît.', 'einhalp', 'dô', 'wart', 'brâht', 'Nachor,', 'als', 'ez', 'gerâten', 'was', 'dâ', 'vor,', 'der', 'Barlââm', 'der', 'ander']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']
['swar', 'man', 'mîn', 'dienst', 'ie', 'gebat.&quot;', 'der', 'knappe', 'sprach', 'ze', 'Gâwân', '&quot;hêr,', 'sô', 'hân', 'ich', 'missetân:', 'ich', 'soltz', 'iu', 'ê', 'hân']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['kunst', 'unde', 'kraft.', 'sô', 'hât', 'hie', 'mangen', 'soldier', 'von', 'Normandîe', 'Gaschier,', 'der', 'wîse', 'degen', 'hêre.', 'noch', 'hât', 'hie', 'rîter', 'mêre', 'Kaylet']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B']
['vant', 'den', 'künec', 'unt', 'des', 'wîp,', 'und', 'manegen', 'werdeclîchen', 'lîp.', 'Si', 'enbietent', 'iu', 'dienst', 'unde', 'ir', 'komn.', 'iwer', 'botschaft', 'wart', 'von']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['daz', 'ors', 'was', 'sneller', 'denne', 'ein', 'tier.', 'ein', 'grâve', 'ûz', 'Ernaldes', 'lant', '(Gyffleyz', 'was', 'der', 'genant)', 'die', 'tjost', 'von', 'dem', 'künege']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['tür,', 'antwurte', 'i&apos;n', 'iu', 'gevangen.&quot;', '&quot;sô', 'wert', 'ir', 'wol', 'enpfangen,&quot;', 'Sprach', 'der', 'schifman:', 'des', 'grôzer', 'danc', 'was', 'mit', 'nîgen', 'niht', 'ze']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ritet', 'ir', 'sanfter', 'einen', 'stap.', 'diz', 'ors', 'mir', 'ledeclîchen', 'gap', 'Orilus', 'der', 'Burgunjoys:', 'Urjâns', 'der', 'fürste', 'ûz', 'Punturtoys', 'Eine', 'wîl', 'het']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O']
['diz', 'mugit', 'ir', 'wol', 'hôren', 'in', 'libro', 'Machabeorum.', 'Alberîch', 'von', 'Bisinzo', 'der', 'brâhte', 'uns', 'diz', 'lît', 'zû.', 'er', 'hetez', 'in', 'walhisken']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['wære', 'alsolhiu', 'mære', 'brâht,', 'der', 'sælde', 'gein', 'im', 'het', 'erdâht.', 'Er', 'sprach,', 'er', 'wolte', 'gerne', 'komn.', 'dâ', 'wart', 'geselleschaft', 'genomn:', 'sînes']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['daz', 'tuot', 'iu', 'wê.', 'mir', 'hât', 'der', 'künec', 'Clâmidê', 'und', 'Kingrûn', 'sîn', 'scheneschlant', 'verwüestet', 'pürge', 'unde', 'lant', 'unz', 'an', 'Pelrapeire.', 'mîn']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['vater', 'hiez', 'Tankanîs,', 'ein', 'künec:', 'der', 'het', 'och', 'hôhen', 'prîs.', 'Mîn', 'friunt', 'der', 'hiez', 'Isenhart.', 'mîn', 'wîpheit', 'was', 'unbewart,', 'dô', 'ich']	['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']
['Praverâûs,', 'Blerios', 'und', 'Garredo', 'mechschin,', 'Los', 'und', 'Troimar\xa0lo\xa0mechschin,', 'Brîên\xa0lingo\xa0mathel', 'und', 'Equinot', 'fil', 'cont', 'von', 'Haterel,', 'Lernfras', 'fil', 'Keiîn', 'und', 'Henec\xa0suctellois', 'fil']	['B', 'B', 'O', 'B', 'B', 'B', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'O']
['dan', 'si', 'von', 'im', 'imer', 'mêre', 'gewunnen', 'liep', 'noch', 'êre.', 'Dô', 'der', 'künec', 'die', 'rede', 'getet,', 'dô', 'antwurt', 'im', 'Orphilet,', 'der']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['an', 'disen', 'hof', 'wolgetân', 'Gîôt', 'und', 'Iwân,', 'des', 'zuoname', 'was', 'Penelôî.', 'nu', 'hœrent', 'waʒ', 'diu', 'rede', 'sî.', 'Dô', 'si', 'von', 'den']	['O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['vor', 'iuwerem', 'gote', 'Tervigant,', 'der', 'iuch', 'vür', 'tôren', 'hât', 'erkant.&apos;', 'Dô', 'Terramêr', 'vil', 'rehte', 'ersach', 'daz', 'deheines', 'sturmes', 'ungemach', 'Oransche', 'möht']	['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']
['met', 'unde', 'wîn,', 'wan', 'er', 'kund', 'wol', 'ein', 'wirt', 'sîn.', 'Dô', 'die', 'herren', 'gâʒen,', 'die', 'boten', 'niht', 'lenger', 'sâʒen:', 'si', 'heten']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['iuch', 'ze', 'boten', 'an', 'sînen', 'lîp,', 'diu', 'künegîn', 'von', 'Pelrapeire.', 'Kardeiz', 'fîz', 'Tampenteire,', 'ir', 'bruoder,', 'nâmt', 'ir', 'och', 'sîn', 'lebn.', 'sol']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['wol', 'habt', 'vernomn,', 'und', 'kom', 'ouch', 'als', 'er', 'solde', 'komn.', 'Reht', 'umbe', 'den', 'mitten', 'morgen', 'offenlîche', 'und', 'unverborgen', 'ûf', 'den', 'hof']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['in', 'den', 'Jordân', 'durh', 'toufe', 'wart', 'gestôzen.', 'unsanfte', 'mac', 'genôzen', 'Diutscher', 'rede', 'deheine', 'dirre', 'die', 'ich', 'nû', 'meine,', 'ir', 'letze', 'und']	['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['hât', 'den', 'stolzen', 'her', 'gesant?', 'het', 'ich', 'den', 'für', 'einen', 'Môr,', 'sô', 'wær', 'mîn', 'bester', 'sin', 'ein', 'tôr.&quot;', 'diu', 'doch', 'von']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['begunde', 'jungen', 'und', 'alten', 'sagen', 'daz', 'selbe', 'wâpen', 'wolde', 'tragen', 'Terramêr', 'der', 'zornic', 'gemuot.', 'dô', 'regete', 'sich', 'diu', 'heres', 'vluot.', 'von']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['kom', 'iwer', 'lîp.', 'sô', 'ist', 'diz', 'diu', 'muoter', 'mîn,', 'von', 'Norwæge', 'de', 'künegîn.', 'dise', 'zwuo', 'mîn', 'swester', 'sint,', 'nu', 'seht', 'wie']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['dem', 'man', 'gefrumet', 'und', 'waʒ', 'im', 'wol', 'ode', 'übel', 'kumet.', 'Dô', 'Lanzelet_del_Lac', 'bî', 'der', 'künegîn', 'gelac,', 'do', 'begunde', 'siu', 'in', 'minnen.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['var.', 'doch', 'wart', 'an', 'rîter', 'nie', 'bekant', 'über', 'al', 'der', 'Franzoyser', 'lant', 'wâppenroc', 'sô', 'kostlîch,', 'des', 'blic', 'der', 'sunnen', 'ist', 'gelîch.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['man', 'ûf', 'dem', 'Sande', 'wênic', 'hât.', 'Sus', 'kom', 'der', 'künec', 'Purrel', 'mit', 'maneger', 'pusînen', 'hel:', 'über', 'al', 'daz', 'her', 'schal', 'der']	['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['die', 'zwêne', 'chunige', 'sider.', 'daz', 'Philippus', 'den', 'zins', 'galt', 'in', 'Darios', 'gewalt', 'dannen', 'uber', 'manegen', 'tach,', 'daz', 'was', 'tem', 'sune', 'ungemach.']	['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['werder', 'man', 'geborn,', 'getorst', 'ich', 'des', 'gelouben', 'hân,', 'sô', 'von', 'Norwæge', 'Gâwân,', 'ziu', 'dar', 'nâher!', 'holt', 'in', 'dâ!', 'sô', 'ist', 'er']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ruowe', 'nôt,', 'wande', 'in', 'grôz', 'müede', 'daz', 'gebôt.', 'Scherules', 'nam', 'Gâwân', 'unt', 'den', 'grâven', 'Lahedumân.', 'dennoch', 'mêr', 'ritter', 'er', 'dâ', 'vant,']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']
['mac', 'der', 'künic', 'Tybalt', 'al', 'sînen', 'goten', 'danken', 'wol:', 'die', 'Franzoys', 'uns', 'gebent', 'zol,', 'den', 'si', 'ungerne', 'möhten', 'lân.', 'swaz', 'der']	['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['künic', 'hôrten', 'an,', 'daz', 'wart', 'ze', 'gemache', 'in', 'getân.', 'her', 'Gâwein', 'dô', 'gebunden', 'wart', 'und', 'manịc', 'rîter', 'von', 'hôher', 'art,', 'der']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
